timestamp,hour,day_of_week,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month,season,day_of_year,doy_sin,doy_cos,hour_since_midnight,is_peak_pollution_hour,is_low_pollution_hour,is_rush_hour,is_business_hours,hours_since_midnight,hours_until_midnight
2025-04-17 04:00:00,4,3,0,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,4,1,107,0.9634705485641488,-0.2678143051621742,4,0,0,0,0,4,20
2025-04-17 05:00:00,5,3,0,0.9659258262890684,0.2588190451025207,0.4338837391175582,-0.900968867902419,4,1,107,0.9634705485641488,-0.2678143051621742,5,0,0,0,0,5,19
2025-04-17 06:00:00,6,3,0,1.0,6.123233995736766e-17,0.4338837391175582,-0.900968867902419,4,1,107,0.9634705485641488,-0.2678143051621742,6,0,0,0,0,6,18
2025-04-17 07:00:00,7,3,0,0.9659258262890684,-0.2588190451025206,0.4338837391175582,-0.900968867902419,4,1,107,0.9634705485641488,-0.2678143051621742,7,1,0,1,0,7,17
2025-04-17 08:00:00,8,3,0,0.8660254037844387,-0.4999999999999998,0.4338837391175582,-0.900968867902419,4,1,107,0.9634705485641488,-0.2678143051621742,8,1,0,1,0,8,16
2025-04-17 09:00:00,9,3,0,0.7071067811865476,-0.7071067811865475,0.4338837391175582,-0.900968867902419,4,1,107,0.9634705485641488,-0.2678143051621742,9,1,0,1,1,9,15
2025-04-17 10:00:00,10,3,0,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419,4,1,107,0.9634705485641488,-0.2678143051621742,10,0,0,0,1,10,14
2025-04-17 11:00:00,11,3,0,0.258819045102521,-0.9659258262890682,0.4338837391175582,-0.900968867902419,4,1,107,0.9634705485641488,-0.2678143051621742,11,0,0,0,1,11,13
2025-04-17 12:00:00,12,3,0,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,4,1,107,0.9634705485641488,-0.2678143051621742,12,0,0,0,1,12,12
2025-04-17 18:00:00,18,3,0,-1.0,-1.8369701987210287e-16,0.4338837391175582,-0.900968867902419,4,1,107,0.9634705485641488,-0.2678143051621742,18,1,0,1,0,18,6
2025-04-18 00:00:00,0,4,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,4,1,108,0.9587178169872964,-0.2843591872810034,0,0,0,0,0,0,24
2025-04-18 06:00:00,6,4,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,4,1,108,0.9587178169872964,-0.2843591872810034,6,0,0,0,0,6,18
2025-04-18 12:00:00,12,4,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,4,1,108,0.9587178169872964,-0.2843591872810034,12,0,0,0,1,12,12
2025-04-18 18:00:00,18,4,0,-1.0,-1.8369701987210287e-16,-0.433883739117558,-0.9009688679024191,4,1,108,0.9587178169872964,-0.2843591872810034,18,1,0,1,0,18,6
2025-04-19 00:00:00,0,5,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146,4,1,109,0.9536809966304456,-0.3008198076356673,0,0,0,0,0,0,24
2025-04-20 06:00:00,6,6,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,4,1,110,0.9483615800121716,-0.3171912885891061,6,0,0,0,0,6,18
2025-04-20 12:00:00,12,6,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,4,1,110,0.9483615800121716,-0.3171912885891061,12,0,0,0,1,12,12
2025-04-20 18:00:00,18,6,1,-1.0,-1.8369701987210287e-16,-0.7818314824680299,0.6234898018587334,4,1,110,0.9483615800121716,-0.3171912885891061,18,1,0,1,0,18,6
2025-04-21 00:00:00,0,0,0,0.0,1.0,0.0,1.0,4,1,111,0.9427611433904208,-0.3334687789181868,0,0,0,0,0,0,24
2025-04-21 06:00:00,6,0,0,1.0,6.123233995736766e-17,0.0,1.0,4,1,111,0.9427611433904208,-0.3334687789181868,6,0,0,0,0,6,18
2025-04-21 12:00:00,12,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,4,1,111,0.9427611433904208,-0.3334687789181868,12,0,0,0,1,12,12
2025-04-21 18:00:00,18,0,0,-1.0,-1.8369701987210287e-16,0.0,1.0,4,1,111,0.9427611433904208,-0.3334687789181868,18,1,0,1,0,18,6
2025-04-22 00:00:00,0,1,0,0.0,1.0,0.7818314824680298,0.6234898018587336,4,1,112,0.9368813462954316,-0.3496474552512284,0,0,0,0,0,0,24
2025-04-22 06:00:00,6,1,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,4,1,112,0.9368813462954316,-0.3496474552512284,6,0,0,0,0,6,18
2025-04-22 12:00:00,12,1,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,4,1,112,0.9368813462954316,-0.3496474552512284,12,0,0,0,1,12,12
2025-04-22 18:00:00,18,1,0,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,4,1,112,0.9368813462954316,-0.3496474552512284,18,1,0,1,0,18,6
2025-04-23 00:00:00,0,2,0,0.0,1.0,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,0,0,0,0,0,0,24
2025-04-23 03:00:00,3,2,0,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,3,0,0,0,0,3,21
2025-04-23 04:00:00,4,2,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,4,0,0,0,0,4,20
2025-04-23 05:00:00,5,2,0,0.9659258262890684,0.2588190451025207,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,5,0,0,0,0,5,19
2025-04-23 06:00:00,6,2,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,6,0,0,0,0,6,18
2025-04-23 07:00:00,7,2,0,0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,7,1,0,1,0,7,17
2025-04-23 08:00:00,8,2,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,8,1,0,1,0,8,16
2025-04-23 09:00:00,9,2,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,9,1,0,1,1,9,15
2025-04-23 10:00:00,10,2,0,0.4999999999999999,-0.8660254037844387,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,10,0,0,0,1,10,14
2025-04-23 11:00:00,11,2,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,11,0,0,0,1,11,13
2025-04-23 12:00:00,12,2,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,12,0,0,0,1,12,12
2025-04-23 13:00:00,13,2,0,-0.2588190451025208,-0.9659258262890684,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,13,0,1,0,1,13,11
2025-04-23 14:00:00,14,2,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,14,0,1,0,1,14,10
2025-04-23 15:00:00,15,2,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,15,0,1,0,1,15,9
2025-04-23 16:00:00,16,2,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,16,0,1,0,1,16,8
2025-04-23 17:00:00,17,2,0,-0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,17,0,0,1,1,17,7
2025-04-23 18:00:00,18,2,0,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,18,1,0,1,0,18,6
2025-04-23 19:00:00,19,2,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,19,1,0,1,0,19,5
2025-04-23 20:00:00,20,2,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,20,1,0,0,0,20,4
2025-04-23 21:00:00,21,2,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,21,0,0,0,0,21,3
2025-04-23 22:00:00,22,2,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,22,0,0,0,0,22,2
2025-04-23 23:00:00,23,2,0,-0.2588190451025215,0.965925826289068,0.9749279121818236,-0.2225209339563143,4,1,113,0.9307239310379796,-0.3657225234972689,23,0,0,0,0,23,1
