timestamp,aqi_category,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-06-21 00:00:00,4.0,504.92,0.0,5.36,94.73,2.68,70.41,104.71,65.29
2025-06-21 01:00:00,4.0,498.0,0.0,5.01,94.5,2.75,67.78,100.48,66.74
2025-06-21 02:00:00,4.0,494.27,0.07,5.09,92.83,2.91,63.71,94.95,63.38
2025-06-21 03:00:00,4.0,480.63,0.26,4.64,96.2,3.25,58.54,89.54,56.73
2025-06-21 04:00:00,4.0,406.85,0.19,2.2,115.25,4.2,50.08,84.65,36.23
2025-06-21 05:00:00,3.0,372.82,0.16,1.5,124.01,4.19,49.11,86.77,30.44
2025-06-21 06:00:00,4.0,356.96,0.13,1.17,130.84,4.03,51.22,91.34,28.34
2025-06-21 07:00:00,4.0,345.51,0.11,0.97,135.99,3.73,54.35,97.11,26.17
2025-06-21 08:00:00,4.0,329.09,0.09,0.87,136.31,3.33,54.94,98.67,24.19
2025-06-21 09:00:00,4.0,317.63,0.09,0.86,135.68,3.04,54.5,98.69,23.26
2025-06-21 10:00:00,4.0,314.83,0.08,0.93,136.28,2.89,54.99,100.23,23.43
2025-06-21 11:00:00,4.0,313.23,0.08,1.08,135.55,2.79,55.57,101.64,24.33
2025-06-21 12:00:00,4.0,312.69,0.07,1.31,134.28,2.68,55.83,102.65,25.26
2025-06-21 13:00:00,4.0,321.59,0.06,2.02,130.69,2.62,56.59,103.56,28.47
2025-06-21 14:00:00,4.0,337.88,0.02,3.02,124.76,2.58,57.81,104.59,33.7
2025-06-21 15:00:00,4.0,352.78,0.0,3.56,118.98,2.53,59.1,106.34,38.36
2025-06-21 16:00:00,4.0,365.29,0.0,3.98,112.6,2.42,59.85,106.53,42.39
2025-06-21 17:00:00,4.0,379.86,0.0,4.42,108.47,2.33,61.01,107.66,45.34
2025-06-21 18:00:00,4.0,386.6,0.0,4.57,107.19,2.27,61.82,109.17,46.36
2025-06-21 19:00:00,4.0,381.43,0.0,4.38,106.37,2.23,61.5,108.92,46.14
2025-06-21 20:00:00,4.0,380.68,0.0,4.06,105.85,2.3,61.41,107.06,46.26
2025-06-21 21:00:00,4.0,384.65,0.0,3.58,107.31,2.55,60.82,102.25,44.91
2025-06-21 22:00:00,4.0,394.56,0.0,3.25,108.0,2.75,59.74,95.54,42.64
2025-06-21 23:00:00,4.0,416.16,0.0,3.18,107.85,2.91,59.57,90.78,42.05
2025-06-22 00:00:00,4.0,438.91,0.0,3.02,107.82,2.98,58.89,86.19,41.04
2025-06-22 01:00:00,4.0,453.67,0.0,2.63,108.6,3.05,55.8,79.08,37.32
2025-06-22 02:00:00,4.0,474.73,0.04,2.84,106.7,3.03,53.61,73.87,35.73
2025-06-22 03:00:00,4.0,489.91,0.13,2.92,106.69,2.97,52.04,71.41,34.07
2025-06-22 04:00:00,3.0,482.18,0.15,2.29,114.12,2.91,49.09,68.68,29.21
2025-06-22 05:00:00,3.0,473.38,0.15,1.75,120.99,2.87,47.99,67.92,26.79
2025-06-22 06:00:00,3.0,465.07,0.14,1.42,127.31,2.87,48.93,69.58,25.76
2025-06-22 07:00:00,3.0,415.05,0.11,1.09,126.82,2.75,47.31,75.86,23.83
2025-06-22 08:00:00,3.0,362.59,0.09,0.94,121.9,2.58,47.23,85.43,21.86
2025-06-22 09:00:00,3.0,333.39,0.08,0.91,119.17,2.51,47.86,92.23,21.0
2025-06-22 10:00:00,3.0,313.37,0.08,0.95,118.14,2.5,48.5,98.15,21.22
2025-06-22 11:00:00,4.0,292.3,0.08,1.06,115.81,2.44,48.07,101.26,21.85
2025-06-22 12:00:00,4.0,275.21,0.07,1.27,113.5,2.41,46.88,103.44,22.7
2025-06-22 13:00:00,4.0,275.9,0.05,2.02,109.82,2.43,45.81,101.61,26.29
2025-06-22 14:00:00,3.0,289.05,0.02,3.0,104.42,2.38,44.72,96.96,31.28
2025-06-22 15:00:00,3.0,304.57,0.0,3.54,99.72,2.23,43.51,92.06,35.45
2025-06-22 16:00:00,3.0,318.74,0.0,3.69,96.05,2.05,42.07,86.46,38.32
2025-06-22 17:00:00,3.0,333.57,0.0,3.68,95.0,1.94,41.49,82.74,40.19
2025-06-22 18:00:00,3.0,344.51,0.0,3.53,94.77,1.9,41.15,79.92,40.88
2025-06-22 19:00:00,3.0,351.21,0.0,3.5,92.17,2.05,40.24,74.89,40.68
2025-06-22 20:00:00,3.0,369.41,0.0,3.77,88.38,2.4,40.02,69.9,39.82
2025-06-22 21:00:00,3.0,389.22,0.0,3.83,86.15,2.7,39.8,65.47,31.23
2025-06-22 22:00:00,3.0,400.07,0.0,3.69,84.39,2.76,39.09,60.6,24.17
2025-06-22 23:00:00,3.0,414.59,0.0,3.61,84.45,2.71,39.03,57.57,21.71
2025-06-23 00:00:00,3.0,425.18,0.0,3.55,84.78,2.57,38.73,54.99,19.65
2025-06-23 01:00:00,3.0,426.22,0.0,3.23,87.34,2.15,37.77,52.71,18.81
2025-06-23 02:00:00,3.0,429.92,0.05,3.35,87.94,1.83,36.88,52.03,21.38
2025-06-23 03:00:00,3.0,432.06,0.23,3.27,90.85,1.68,36.41,52.42,24.84
2025-06-23 04:00:00,3.0,338.5,0.15,1.53,104.67,1.35,29.03,45.51,19.68
2025-06-23 05:00:00,3.0,308.58,0.12,1.07,108.57,1.33,28.54,46.68,19.64
2025-06-23 06:00:00,3.0,300.95,0.11,0.89,112.06,1.37,30.47,49.78,20.01
2025-06-23 07:00:00,3.0,285.74,0.09,0.72,113.58,1.43,31.41,52.36,18.56
2025-06-23 08:00:00,3.0,274.49,0.09,0.65,112.56,1.38,32.21,54.43,18.29
2025-06-23 09:00:00,3.0,269.5,0.08,0.64,112.13,1.38,32.96,55.71,18.4
2025-06-23 10:00:00,3.0,271.39,0.09,0.69,113.77,1.46,34.23,58.06,19.09
2025-06-23 11:00:00,3.0,270.37,0.09,0.8,114.29,1.57,35.22,60.35,20.09
2025-06-23 12:00:00,3.0,269.46,0.09,1.02,114.49,1.68,35.92,62.83,21.07
2025-06-23 13:00:00,3.0,287.81,0.11,2.28,110.58,1.77,37.37,65.9,28.05
2025-06-23 14:00:00,3.0,321.73,0.05,4.36,102.05,1.87,39.24,69.22,39.09
2025-06-23 15:00:00,3.0,352.83,0.0,5.66,94.35,1.94,41.14,73.05,48.74
2025-06-23 16:00:00,3.0,381.1,0.0,6.67,86.73,1.95,42.62,75.99,59.56
2025-06-23 17:00:00,3.0,414.41,0.0,7.8,79.09,1.93,44.36,79.21,70.09
2025-06-23 18:00:00,3.0,442.42,0.0,8.79,72.59,1.88,45.87,82.17,79.24
2025-06-23 19:00:00,3.0,454.56,0.0,9.29,67.03,1.75,46.58,83.93,84.97
2025-06-23 20:00:00,3.0,460.16,0.0,9.27,63.09,1.58,47.16,85.35,84.67
2025-06-23 21:00:00,3.0,463.08,0.0,8.98,60.56,1.47,47.36,85.63,81.61
2025-06-23 22:00:00,3.0,460.84,0.0,8.56,59.06,1.44,47.16,85.23,77.91
2025-06-23 23:00:00,3.0,459.65,0.0,8.17,58.37,1.48,47.15,85.47,75.45
2025-06-24 00:00:00,3.0,458.45,0.0,7.77,58.44,1.58,47.23,86.12,73.19
2025-06-24 01:00:00,3.0,451.0,0.01,7.19,59.53,1.73,46.6,85.98,69.13
2025-06-24 02:00:00,3.0,453.36,0.21,6.91,62.52,1.98,46.51,87.46,64.81
2025-06-24 03:00:00,3.0,443.9,0.55,5.77,75.54,2.38,47.17,91.96,58.63
2025-06-24 04:00:00,4.0,327.83,0.21,2.06,106.29,3.82,46.98,109.72,37.31
2025-06-24 05:00:00,4.0,290.27,0.14,1.27,114.92,4.04,48.87,120.29,32.72
2025-06-24 06:00:00,4.0,275.73,0.11,0.98,119.49,3.99,51.43,124.88,31.32
2025-06-24 07:00:00,4.0,263.02,0.1,0.8,121.73,3.88,53.01,127.21,29.5
2025-06-24 08:00:00,4.0,247.3,0.08,0.69,120.87,3.59,52.27,125.09,27.16
2025-06-24 09:00:00,4.0,236.52,0.08,0.64,119.52,3.35,51.59,123.44,25.72
2025-06-24 10:00:00,4.0,233.41,0.08,0.69,119.44,3.27,52.02,124.17,25.83
2025-06-24 11:00:00,4.0,233.31,0.09,0.86,119.21,3.36,53.11,126.26,27.23
2025-06-24 12:00:00,4.0,233.68,0.09,1.15,118.32,3.47,53.79,128.06,28.71
2025-06-24 13:00:00,4.0,247.05,0.09,2.21,114.57,3.53,54.78,128.84,33.14
2025-06-24 14:00:00,4.0,270.92,0.03,3.75,108.02,3.52,55.88,128.48,39.38
2025-06-24 15:00:00,4.0,292.51,0.0,4.65,102.16,3.48,56.76,127.68,44.22
2025-06-24 16:00:00,4.0,307.64,0.0,5.08,97.0,3.34,56.9,125.03,47.79
2025-06-24 17:00:00,4.0,321.58,0.0,5.31,93.87,3.23,57.45,123.44,50.65
2025-06-24 18:00:00,4.0,328.34,0.0,5.19,92.91,3.17,57.81,122.62,52.0
2025-06-24 19:00:00,4.0,316.26,0.0,4.24,96.28,3.23,57.55,123.89,50.16
